927744	700164
634889	407631
923662	696082
917533	689953
931871	704291
288801	61539
499757	272497
1173551	945971
931890	704310
479291	252031
917570	689990
741443	514186
921672	694092
839753	612497
239696	12434
927826	700246
923734	696154
694361	467103
917597	690017
903267	676011
925796	698216
923750	696170
628842	401584
921708	694128
915565	687985
915575	687995
915578	687998
919685	692105
938119	710539
932204	704624
917643	690063
919712	692132
1147045	919465
1038502	810922
915626	688046
1382770	1155190
1335475	1107895
917685	690105
932027	704447
929981	702401
917695	690115
846022	618766
614606	387347
923858	696278
917716	690136
612566	385307
916175	688595
1206513	978933
919794	692214
930858	703278
792840	565583
971024	743444
923922	696342
250131	22869
932119	704539
928030	700450
940327	712747
722994	495736
915762	688182
915764	688184
588085	360826
319799	92537
915769	688189
264507	37245
1022273	794693
917837	690257
526673	299413
282967	55705
786777	559520
250218	22956
309612	82350
930162	702582
1081747	854167
459128	231868
917890	690310
917893	690313
915846	688266
1055113	827533
915859	688279
917910	690330
743846	516589
762281	535024
1161642	934062
612786	385527
694713	467455
600507	373248
336316	109055
682433	455175
715205	487947
932294	704714
915912	688332
1429962	1202382
395723	168462
377295	150034
932312	704732
917987	690407
926184	698604
915947	688367
917999	690419
926196	698616
932349	704769
512510	285250
569860	342601
739853	512596
921689	694109
915994	688414
614941	387682
930338	702758
633382	406124
932393	704813
926261	698681
924218	696638
920128	692548
404037	176776
926282	698702
922191	694611
885332	658076
922205	694625
1350239	1122659
467552	240292
519271	292011
926317	698737
961136	733556
1237619	1010039
266868	39606
279158	51896
930428	702848
1364606	1137026
381568	154307
1174151	946571
510600	283340
1168018	940438
922265	694685
1190554	962974
932507	704927
932512	704932
549541	322282
385702	158441
924328	696748
916146	688566
916161	688581
1176271	948691
1344210	1116630
1149658	922078
930255	702675
926428	698848
928483	700903
828134	600878
916207	688627
916208	688628
924404	696824
307973	80711
1264399	1036819
923438	695858
1387296	1159716
998177	770597
1163399	935819
1227571	999991
1012535	784955
824120	596863
924483	696903
834373	607117
928568	700988
926547	698967
893790	666534
928607	701027
932704	705124
916324	688744
406373	179112
916328	688748
486257	258997
926578	698998
723841	496583
916361	688781
932752	705172
922435	694855
265114	37852
922528	694948
689066	461808
920498	692918
265147	37885
914364	687108
1207230	979650
928704	701124
926662	699082
922571	694991
760785	533528
1414100	1186520
924630	697050
916441	688861
1006555	778975
916455	688875
922607	695027
932848	705268
306167	78905
877560	650304
647338	420080
930815	703235
916497	688917
431123	203863
676885	449627
318494	91232
920607	693027
1160225	932645
556069	328810
291879	64617
928810	701230
420702	193441
924728	697148
863289	636033
453694	226434
916557	688977
728143	500886
932945	705365
228437	1175
1154134	926554
1231961	1004381
443488	216228
930914	703334
582759	355500
254824	27562
930930	703350
932995	705415
926858	699278
916997	689417
754831	527574
933009	705429
666774	439516
918688	691108
924837	697257
1037496	809916
926914	699334
902341	675085
1242313	1014733
928972	701392
662734	435476
916689	689109
1184983	957403
916699	689119
963833	736253
924923	697343
320765	93503
279809	52547
662786	435528
738563	511306
1389829	1162249
234759	7497
920847	693267
546064	318805
933139	705559
916757	689177
714006	486748
922903	695323
1123611	896031
683293	456035
259364	32102
916776	689196
711977	484719
1154348	926768
1174833	947253
927027	699447
924981	697401
918840	691260
927033	699453
875837	648581
431423	204163
920897	693317
769349	542092
554310	327051
413019	185758
583004	355745
795997	568740
931168	703588
916836	689256
922983	695403
279916	52654
920942	693362
931184	703604
927094	699514
742796	515539
595345	368086
1209747	982167
925077	697497
1025432	797852
933277	705697
873889	646633
1238437	1010857
931245	703665
409009	181748
929207	701627
462269	235009
562628	335369
722384	495126
648661	421403
918998	691418
634105	406847
1326553	1098973
927203	699623
1154539	926959
1181949	954369
697843	470585
923124	695544
679415	452157
923137	695557
300549	73287
730631	503374
794121	566864
933387	705807
929301	701721
927260	699680
929081	701501
914975	687395
917034	689454
926983	699403
933423	705843
605745	378486
931384	703804
280136	52874
927311	699731
917073	689493
919133	691553
390757	163496
360041	132780
1089131	861551
930067	702487
630388	403130
919157	691577
284282	57020
1179264	951684
1097346	869766
925315	697735
923272	695692
456983	229723
921228	693648
644749	417491
432749	205489
923282	695702
358040	130779
927385	699805
1207968	980388
947876	720296
358062	130801
915122	687542
917175	689595
919228	691648
1214146	986566
610934	383675
917191	689611
932233	704653
923338	695758
458444	231184
915159	687579
923353	695773
929498	701918
915167	687587
345831	118570
1353452	1125872
915189	687609
638712	411454
657145	429887
925435	697855
640773	413515
1255177	1027597
925450	697870
435994	208734
448286	221026
923428	695848
927534	699954
915250	687670
925497	697917
915260	687680
923453	695873
491326	264066
923466	695886
649037	421779
915284	687704
557369	330110
585563	358304
499557	272297
601967	374708
411507	184246
915336	687756
915347	687767
931735	704155
915352	687772
915354	687774
1037295	809715
916805	689225
931744	704164
378786	151525
616355	389096
924998	697418
876454	649198
925607	698027
274359	47097
333761	106500
921543	693963
866267	639011
915422	687842
1234912	1007332
931812	704232
559083	331824
1177589	950009
657398	430140
915447	687867
1198073	970493
1187838	960258
